6.70E-02	0.104174426	7.50E-02	2.65E-03	4.12E-04	0.106016479
6.80E-02	0.107172996	7.63E-02	2.77E-03	4.48E-04	0.109270439
6.90E-02	0.110238627	7.77E-02	2.90E-03	4.87E-04	0.112579651
7.00E-02	0.113371842	7.90E-02	3.03E-03	5.29E-04	0.115944661
7.10E-02	0.116573095	8.04E-02	3.16E-03	5.73E-04	0.119366027
7.20E-02	0.119842773	8.17E-02	3.29E-03	6.20E-04	0.122844316
7.30E-02	0.123181194	8.31E-02	3.42E-03	6.71E-04	0.126380116
7.40E-02	0.126588604	8.45E-02	3.56E-03	7.24E-04	0.129974037
7.50E-02	0.130065176	8.59E-02	3.70E-03	7.81E-04	0.133626685
7.60E-02	0.133611007	8.72E-02	3.84E-03	8.41E-04	0.137338713
7.70E-02	0.137226123	8.86E-02	3.98E-03	9.05E-04	0.141110748
7.80E-02	0.140910471	9.00E-02	4.12E-03	9.73E-04	0.144943476
7.90E-02	0.144663921	9.14E-02	4.26E-03	1.04E-03	0.148837551
8.00E-02	0.148486269	9.28E-02	4.40E-03	1.12E-03	0.152793676
8.10E-02	0.152377232	9.42E-02	4.54E-03	1.20E-03	0.156812519
8.20E-02	0.15633645	9.56E-02	4.68E-03	1.28E-03	0.160894796
8.30E-02	0.160363491	9.70E-02	4.82E-03	1.37E-03	0.165041208
8.40E-02	0.164457845	9.84E-02	4.96E-03	1.46E-03	0.169252455
8.50E-02	0.168618929	9.98E-02	5.10E-03	1.56E-03	0.173529267
8.60E-02	0.17284609	0.101231433	5.24E-03	1.66E-03	0.17787236
8.70E-02	0.177138604	0.102642313	5.37E-03	1.77E-03	0.182282403
8.80E-02	0.18149568	0.104054637	5.50E-03	1.88E-03	0.186760128
8.90E-02	0.185916463	0.105468258	5.63E-03	2.00E-03	0.191306219
9.00E-02	0.190400038	0.106883004	5.76E-03	2.13E-03	0.195921361
9.10E-02	0.19494543	0.108298756	5.88E-03	2.25E-03	0.200606212
9.20E-02	0.199551613	0.109715372	6.00E-03	2.39E-03	0.205361411
9.30E-02	0.204217511	0.111132748	6.12E-03	2.53E-03	0.210187599
9.40E-02	0.208942002	0.112550788	6.23E-03	2.68E-03	0.215085343
9.50E-02	0.213723927	0.113969415	6.34E-03	2.83E-03	0.220055237
9.60E-02	0.218562092	0.115388565	6.44E-03	2.99E-03	0.225097775
9.70E-02	0.223455274	0.116808206	6.54E-03	3.15E-03	0.230213463
9.80E-02	0.228402228	0.118228309	6.63E-03	3.32E-03	0.235402733
9.90E-02	0.233401696	0.119648874	6.72E-03	3.50E-03	0.240665942
0.100000024	0.238452407	0.121069923	6.80E-03	3.69E-03	0.246003449
0.101000026	0.24355309	0.122491494	6.87E-03	3.88E-03	0.251415491
0.102000028	0.248702734	0.123913907	6.94E-03	4.08E-03	0.256902248
0.10300003	0.253899599	0.125336751	7.00E-03	4.28E-03	0.262463838
0.104000032	0.259142684	0.126760378	7.05E-03	4.50E-03	0.268100232
0.105000034	0.264430783	0.128184929	7.10E-03	4.72E-03	0.27381143
0.106000036	0.269762724	0.129610524	7.14E-03	4.95E-03	0.279597193
0.107000038	0.27513738	0.131037369	7.17E-03	5.18E-03	0.285457253
0.10800004	0.280553673	0.132465661	7.19E-03	5.43E-03	0.291391194
0.109000042	0.286010584	0.133895591	7.20E-03	5.68E-03	0.297398448
0.110000044	0.291507161	0.135327443	7.21E-03	5.94E-03	0.30347839
0.111000046	0.297042523	0.136761442	7.20E-03	6.20E-03	0.309630156
0.112000048	0.302615872	0.138197899	7.19E-03	6.48E-03	0.315852761
0.11300005	0.308226499	0.139637098	7.17E-03	6.76E-03	0.322145104
0.114000052	0.313873786	0.141079381	7.14E-03	7.05E-03	0.328505814
0.115000054	0.319557221	0.142525062	7.10E-03	7.36E-03	0.33493343
0.116000056	0.325276396	0.143974528	7.05E-03	7.66E-03	0.341426253
0.117000058	0.331031015	0.145428106	6.99E-03	7.98E-03	0.347982347
0.11800006	0.336820905	0.146886215	6.92E-03	8.31E-03	0.354599655
0.119000062	0.34264601	0.14834924	6.84E-03	8.64E-03	0.361275822
0.120000064	0.348506404	0.149817571	6.76E-03	8.99E-03	0.368008286
0.121000066	0.354402291	0.151291639	6.66E-03	9.34E-03	0.374794275
0.122000068	0.360334006	0.152771831	6.56E-03	9.71E-03	0.381630749
0.12300007	0.366302022	0.154258594	6.45E-03	1.01E-02	0.388514459
0.124000072	0.372306946	0.155752331	6.33E-03	1.05E-02	0.39544186
0.125000075	0.37834952	0.157253459	6.20E-03	1.09E-02	0.402409166
0.126000077	0.384430626	0.158762395	6.07E-03	1.13E-02	0.409412354
0.127000079	0.390551279	0.160279542	5.92E-03	1.17E-02	0.416447103
0.128000081	0.396712627	0.161805302	5.77E-03	1.21E-02	0.423508853
0.129000083	0.402915948	0.163340032	5.62E-03	1.25E-02	0.430592775
0.130000085	0.409162645	0.16488412	5.45E-03	1.30E-02	0.437693834
0.131000087	0.415454244	0.166437909	5.28E-03	1.34E-02	0.444806635
0.132000089	0.421792384	0.168001726	5.11E-03	1.39E-02	0.451925665
0.133000091	0.428178813	0.16957587	4.93E-03	1.44E-02	0.459045082
0.134000093	0.43461538	0.171160609	4.75E-03	1.49E-02	0.466158837
0.135000095	0.441104024	0.17275618	4.56E-03	1.54E-02	0.473260731
0.136000097	0.447646768	0.174362808	4.37E-03	1.59E-02	0.480344266
0.137000099	0.454245705	0.175980642	4.17E-03	1.64E-02	0.487402856
0.138000101	0.460902988	0.177609831	3.98E-03	1.69E-02	0.494429708
0.139000103	0.467620816	0.179250449	3.78E-03	1.75E-02	0.501417875
0.140000105	0.474401422	0.180902556	3.58E-03	1.81E-02	0.508360386
0.141000107	0.481247061	0.182566151	3.38E-03	1.87E-02	0.515250027
0.142000109	0.488159989	0.184241161	3.18E-03	1.93E-02	0.522079706
0.143000111	0.495142455	0.185927495	2.99E-03	1.99E-02	0.528842092
0.144000113	0.502196679	0.187624991	2.79E-03	2.05E-02	0.53553009
0.145000115	0.509324838	0.189333424	2.60E-03	2.11E-02	0.542136431
0.146000117	0.516529048	0.191052556	2.41E-03	2.18E-02	0.548654079
0.147000119	0.523811346	0.192782015	2.23E-03	2.25E-02	0.555075943
0.148000121	0.531173676	0.194521427	2.05E-03	2.32E-02	0.561395168
0.149000123	0.538617865	0.196270362	1.87E-03	2.39E-02	0.567605078
0.150000125	0.54614561	0.198028281	1.71E-03	2.46E-02	0.573699236
0.151000127	0.553758458	0.199794635	1.55E-03	2.54E-02	0.579671383
0.152000129	0.561458001	0.201568991	1.39E-03	2.61E-02	0.585515499
0.153000131	0.56924503	0.203350276	1.25E-03	2.69E-02	0.591226041
0.154000133	0.577120736	0.205137923	1.12E-03	2.77E-02	0.596797705
0.155000135	0.585085901	0.206931129	9.92E-04	2.85E-02	0.602225542
0.156000137	0.593141072	0.208729059	8.78E-04	2.94E-02	0.607505143
0.157000139	0.601286554	0.210530803	7.76E-04	3.03E-02	0.612632453
0.158000141	0.609522391	0.212335408	6.85E-04	3.12E-02	0.617603838
0.159000143	0.61784836	0.214141861	6.07E-04	3.21E-02	0.622416198
0.160000145	0.626263958	0.215949148	5.42E-04	3.30E-02	0.62706697
0.161000147	0.634768393	0.217756182	4.91E-04	3.40E-02	0.631554067
0.162000149	0.643360579	0.21956186	4.53E-04	3.49E-02	0.63587594
0.163000152	0.652039132	0.221365064	4.30E-04	3.59E-02	0.640031517
0.164000154	0.660802365	0.223164618	4.22E-04	3.70E-02	0.644020319
0.165000156	0.669648287	0.224959388	4.28E-04	3.80E-02	0.647842407
0.166000158	0.678574611	0.226748183	4.50E-04	3.91E-02	0.651498377
0.16700016	0.687578748	0.228529841	4.87E-04	4.02E-02	0.654989302
0.168000162	0.69665782	0.230303168	5.40E-04	4.14E-02	0.658316851
0.169000164	0.705808668	0.232067019	6.09E-04	4.25E-02	0.661483169
0.170000166	0.715027859	0.23382026	6.93E-04	4.37E-02	0.664490759
0.171000168	0.724311706	0.235561773	7.93E-04	4.49E-02	0.667342782
0.17200017	0.733656274	0.237290457	9.09E-04	4.61E-02	0.670042694
0.173000172	0.743057408	0.239005297	1.04E-03	4.74E-02	0.672594428
0.174000174	0.752510744	0.240705296	1.19E-03	4.87E-02	0.675002337
0.175000176	0.762011738	0.242389485	1.35E-03	5.00E-02	0.677271068
0.176000178	0.771555682	0.244057015	1.52E-03	5.13E-02	0.67940557
